"Location" "Year" "BaseLinePerHead" "TotalGranted" "Current.LA.code" "Local.authority" "County"
"Dorset" "2013/14" 29 2089666.66666667 "E07000050" "North Dorset" "Dorset"
"Dorset" "2013/14" 29 2089666.66666667 "E07000051" "Purbeck" "Dorset"
"Dorset" "2013/14" 29 2089666.66666667 "E07000052" "West Dorset" "Dorset"
"Dorset" "2013/14" 29 2089666.66666667 "E07000053" "Weymouth and Portland" "Dorset"
"Gloucestershire" "2013/14" 32 3521000 "E07000078" "Cheltenham" "Gloucestershire"
"Gloucestershire" "2013/14" 32 3521000 "E07000079" "Cotswold" "Gloucestershire"
"Gloucestershire" "2013/14" 32 3521000 "E07000080" "Forest of Dean" "Gloucestershire"
"Gloucestershire" "2013/14" 32 3521000 "E07000081" "Gloucester" "Gloucestershire"
"Gloucestershire" "2013/14" 32 3521000 "E07000082" "Stroud" "Gloucestershire"
"Gloucestershire" "2013/14" 32 3521000 "E07000083" "Tewkesbury" "Gloucestershire"
"Somerset" "2013/14" 24 2820600 "E07000187" "Mendip" "Somerset"
"Somerset" "2013/14" 24 2820600 "E07000188" "Sedgemoor" "Somerset"
"Somerset" "2013/14" 24 2820600 "E07000189" "South Somerset" "Somerset"
"Somerset" "2013/14" 24 2820600 "E07000190" "Taunton Deane" "Somerset"
"Somerset" "2013/14" 24 2820600 "E07000191" "West Somerset" "Somerset"
"Hartlepool" "2014/15" 87 8486000 "E06000001" "Hartlepool UA" "Durham"
"Middlesbrough" "2014/15" 111 16378000 "E06000002" "Middlesbrough UA" "North Yorkshire"
"Redcar and Cleveland" "2014/15" 76 10917000 "E06000003" "Redcar and Cleveland UA" "North Yorkshire"
"Stockton-on-Tees" "2014/15" 63 13067000 "E06000004" "Stockton-on-Tees UA" "Durham"
"Darlington" "2014/15" 64 7184000 "E06000005" "Darlington UA" "Durham"
"County Durham" "2014/15" 83 45780000 NA NA NA
"Northumberland" "2014/15" 40 13408000 "E06000048" "Northumberland UA" "Northumberland"
"Gateshead" "2014/15" 74 15832000 "E08000020" "Gateshead" "Tyne and Wear"
"Newcastle upon Tyne" "2014/15" 71 21301000 "E08000021" "Newcastle upon Tyne" "Tyne and Wear"
"North Tyneside" "2014/15" 48 10807000 "E08000022" "North Tyneside" "Tyne and Wear"
"South Tyneside" "2014/15" 82 12917000 "E08000023" "South Tyneside" "Tyne and Wear"
"Sunderland" "2014/15" 73 21234000 "E08000024" "Sunderland" "Tyne and Wear"
"Halton" "2014/15" 65 8749000 "E06000006" "Halton UA" "Cheshire"
"Warrington" "2014/15" 44 10439000 "E06000007" "Warrington UA" "Cheshire"
"Blackburn with Darwen" "2014/15" 84 13134000 "E06000008" "Blackburn with Darwen UA" "Lancashire"
"Blackpool" "2014/15" 119 17946000 "E06000009" "Blackpool UA" "Lancashire"
"Cheshire East" "2014/15" 35 14274000 "E06000049" "Cheshire East UA" "Cheshire"
"Cheshire West and Chester" "2014/15" 37 13889000 "E06000050" "Chester" "Cheshire"
"Bolton" "2014/15" 59 18906000 "E08000001" "Bolton" "Greater Manchester"
"Bury" "2014/15" 44 9619000 "E08000002" "Bury" "Greater Manchester"
"Manchester" "2014/15" 71 44116000 "E08000003" "Manchester" "Greater Manchester"
"Oldham" "2014/15" 54 14915000 "E08000004" "Oldham" "Greater Manchester"
"Rochdale" "2014/15" 64 14777000 "E08000005" "Rochdale" "Greater Manchester"
"Salford" "2014/15" 64 18777000 "E08000006" "Salford" "Greater Manchester"
"Stockport" "2014/15" 41 12834000 "E08000007" "Stockport" "Greater Manchester"
"Tameside" "2014/15" 47 12600000 "E08000008" "Tameside" "Greater Manchester"
"Trafford" "2014/15" 43 10456000 "E08000009" "Trafford" "Greater Manchester"
"Wigan" "2014/15" 70 23665000 "E08000010" "Wigan" "Greater Manchester"
"Knowsley" "2014/15" 106 16375000 "E08000011" "Knowsley" "Merseyside"
"Liverpool" "2014/15" 84 41436000 "E08000012" "Liverpool" "Merseyside"
"St. Helens" "2014/15" 70 13035000 "E08000013" "St. Helens" "Merseyside"
"Sefton" "2014/15" 69 19952000 "E08000014" "Sefton" "Merseyside"
"Wirral" "2014/15" 78 26440000 "E08000015" "Wirral" "Merseyside"
"Cumbria" "2014/15" 26 2599000 "E07000026" "Allerdale" "Cumbria"
"Cumbria" "2014/15" 26 2599000 "E07000027" "Barrow-in-Furness" "Cumbria"
"Cumbria" "2014/15" 26 2599000 "E07000028" "Carlisle" "Cumbria"
"Cumbria" "2014/15" 26 2599000 "E07000029" "Copeland" "Cumbria"
"Cumbria" "2014/15" 26 2599000 "E07000030" "Eden" "Cumbria"
"Cumbria" "2014/15" 26 2599000 "E07000031" "South Lakeland" "Cumbria"
"Lancashire" "2014/15" 48 4983416.66666667 "E07000117" "Burnley" "Lancashire"
"Lancashire" "2014/15" 48 4983416.66666667 "E07000118" "Chorley" "Lancashire"
"Lancashire" "2014/15" 48 4983416.66666667 "E07000119" "Fylde" "Lancashire"
"Lancashire" "2014/15" 48 4983416.66666667 "E07000120" "Hyndburn" "Lancashire"
"Lancashire" "2014/15" 48 4983416.66666667 "E07000121" "Lancaster" "Lancashire"
"Lancashire" "2014/15" 48 4983416.66666667 "E07000122" "Pendle" "Lancashire"
"Lancashire" "2014/15" 48 4983416.66666667 "E07000123" "Preston" "Lancashire"
"Lancashire" "2014/15" 48 4983416.66666667 "E07000124" "Ribble Valley" "Lancashire"
"Lancashire" "2014/15" 48 4983416.66666667 "E07000125" "Rossendale" "Lancashire"
"Lancashire" "2014/15" 48 4983416.66666667 "E07000126" "South Ribble" "Lancashire"
"Lancashire" "2014/15" 48 4983416.66666667 "E07000127" "West Lancashire" "Lancashire"
"Lancashire" "2014/15" 48 4983416.66666667 "E07000128" "Wyre" "Lancashire"
"Kingston upon Hull, City of" "2014/15" 83 22559000 NA NA NA
"East Riding of Yorkshire" "2014/15" 22 9175000 "E06000011" "East Riding of Yorkshire UA" "East Riding of Yorkshire"
"North East Lincolnshire" "2014/15" 59 9971000 "E06000012" "North East Lincolnshire UA" "Lincolnshire"
"North Lincolnshire" "2014/15" 46 8464000 "E06000013" "North Lincolnshire UA" "Lincolnshire"
"York" "2014/15" 30 7305000 "E06000014" "York UA" "North Yorkshire"
"Barnsley" "2014/15" 55 14243000 "E08000016" "Barnsley" "South Yorkshire"
"Doncaster" "2014/15" 63 20198000 "E08000017" "Doncaster" "South Yorkshire"
"Rotherham" "2014/15" 52 14176000 "E08000018" "Rotherham" "South Yorkshire"
"Sheffield" "2014/15" 51 30748000 "E08000019" "Sheffield" "South Yorkshire"
"Bradford" "2014/15" 54 34699000 "E08000032" "Bradford" "West Yorkshire"
"Calderdale" "2014/15" 43 10679000 "E08000033" "Calderdale" "West Yorkshire"
"Kirklees" "2014/15" 49 23527000 "E08000034" "Kirklees" "West Yorkshire"
"Leeds" "2014/15" 43 40540000 "E08000035" "Leeds" "West Yorkshire"
"Wakefield" "2014/15" 59 20797000 "E08000036" "Wakefield" "West Yorkshire"
"North Yorkshire" "2014/15" 29 2818857.14285714 "E07000163" "Craven" "North Yorkshire"
"North Yorkshire" "2014/15" 29 2818857.14285714 "E07000164" "Hambleton" "North Yorkshire"
"North Yorkshire" "2014/15" 29 2818857.14285714 "E07000165" "Harrogate" "North Yorkshire"
"North Yorkshire" "2014/15" 29 2818857.14285714 "E07000166" "Richmondshire" "North Yorkshire"
"North Yorkshire" "2014/15" 29 2818857.14285714 "E07000167" "Ryedale" "North Yorkshire"
"North Yorkshire" "2014/15" 29 2818857.14285714 "E07000168" "Scarborough" "North Yorkshire"
"North Yorkshire" "2014/15" 29 2818857.14285714 "E07000169" "Selby" "North Yorkshire"
"Derby" "2014/15" 47 14484000 "E06000015" "Derby UA" "Derbyshire"
"Leicester" "2014/15" 55 21995000 "E06000016" "Leicester UA" "Leicestershire"
"Rutland" "2014/15" 26 1073000 "E06000017" "Rutland UA" "Rutland"
"Nottingham" "2014/15" 85 27839000 "E06000018" "Nottingham UA" "Nottinghamshire"
"Derbyshire" "2014/15" 43 4456375 "E07000032" "Amber Valley" "Derbyshire"
"Derbyshire" "2014/15" 43 4456375 "E07000033" "Bolsover" "Derbyshire"
"Derbyshire" "2014/15" 43 4456375 "E07000034" "Chesterfield" "Derbyshire"
"Derbyshire" "2014/15" 43 4456375 "E07000035" "Derbyshire Dales" "Derbyshire"
"Derbyshire" "2014/15" 43 4456375 "E07000036" "Erewash" "Derbyshire"
"Derbyshire" "2014/15" 43 4456375 "E07000037" "High Peak" "Derbyshire"
"Derbyshire" "2014/15" 43 4456375 "E07000038" "North East Derbyshire" "Derbyshire"
"Derbyshire" "2014/15" 43 4456375 "E07000039" "South Derbyshire" "Derbyshire"
"Leicestershire" "2014/15" 28 3123285.71428571 "E07000129" "Blaby" "Leicestershire"
"Leicestershire" "2014/15" 28 3123285.71428571 "E07000130" "Charnwood" "Leicestershire"
"Leicestershire" "2014/15" 28 3123285.71428571 "E07000131" "Harborough" "Leicestershire"
"Leicestershire" "2014/15" 28 3123285.71428571 "E07000132" "Hinckley and Bosworth" "Leicestershire"
"Leicestershire" "2014/15" 28 3123285.71428571 "E07000133" "Melton" "Leicestershire"
"Leicestershire" "2014/15" 28 3123285.71428571 "E07000134" "North West Leicestershire" "Leicestershire"
"Leicestershire" "2014/15" 28 3123285.71428571 "E07000135" "Oadby and Wigston" "Leicestershire"
"Lincolnshire" "2014/15" 36 4072285.71428571 "E07000136" "Boston" "Lincolnshire"
"Lincolnshire" "2014/15" 36 4072285.71428571 "E07000137" "East Lindsey" "Lincolnshire"
"Lincolnshire" "2014/15" 36 4072285.71428571 "E07000138" "Lincoln" "Lincolnshire"
"Lincolnshire" "2014/15" 36 4072285.71428571 "E07000139" "North Kesteven" "Lincolnshire"
"Lincolnshire" "2014/15" 36 4072285.71428571 "E07000140" "South Holland" "Lincolnshire"
"Lincolnshire" "2014/15" 36 4072285.71428571 "E07000141" "South Kesteven" "Lincolnshire"
"Lincolnshire" "2014/15" 36 4072285.71428571 "E07000142" "West Lindsey" "Lincolnshire"
"Northamptonshire" "2014/15" 34 4217571.42857143 "E07000150" "Corby" "Northamptonshire"
"Northamptonshire" "2014/15" 34 4217571.42857143 "E07000151" "Daventry" "Northamptonshire"
"Northamptonshire" "2014/15" 34 4217571.42857143 "E07000152" "East Northamptonshire" "Northamptonshire"
"Northamptonshire" "2014/15" 34 4217571.42857143 "E07000153" "Kettering" "Northamptonshire"
"Northamptonshire" "2014/15" 34 4217571.42857143 "E07000154" "Northampton" "Northamptonshire"
"Northamptonshire" "2014/15" 34 4217571.42857143 "E07000155" "South Northamptonshire" "Northamptonshire"
"Northamptonshire" "2014/15" 34 4217571.42857143 "E07000156" "Wellingborough" "Northamptonshire"
"Nottinghamshire" "2014/15" 43 5159857.14285714 "E07000170" "Ashfield" "Nottinghamshire"
"Nottinghamshire" "2014/15" 43 5159857.14285714 "E07000171" "Bassetlaw" "Nottinghamshire"
"Nottinghamshire" "2014/15" 43 5159857.14285714 "E07000172" "Broxtowe" "Nottinghamshire"
"Nottinghamshire" "2014/15" 43 5159857.14285714 "E07000173" "Gedling" "Nottinghamshire"
"Nottinghamshire" "2014/15" 43 5159857.14285714 "E07000174" "Mansfield" "Nottinghamshire"
"Nottinghamshire" "2014/15" 43 5159857.14285714 "E07000175" "Newark and Sherwood" "Nottinghamshire"
"Nottinghamshire" "2014/15" 43 5159857.14285714 "E07000176" "Rushcliffe" "Nottinghamshire"
"Herefordshire, County of" "2014/15" 40 7970000 NA NA NA
"Telford and Wrekin" "2014/15" 61 10913000 NA NA NA
"Stoke-on-Trent" "2014/15" 76 20242000 "E06000021" "Stoke-on-Trent UA" "Staffordshire"
"Shropshire" "2014/15" 26 9843000 "E06000051" "Shropshire UA" "Shropshire"
"Birmingham" "2014/15" 70 80838000 "E08000025" "Birmingham" "West Midlands"
"Coventry" "2014/15" 49 19615000 "E08000026" "Coventry" "West Midlands"
"Dudley" "2014/15" 57 18974000 "E08000027" "Dudley" "West Midlands"
"Sandwell" "2014/15" 60 21805000 "E08000028" "Sandwell" "West Midlands"
"Solihull" "2014/15" 45 9905000 "E08000029" "Solihull" "West Midlands"
"Walsall" "2014/15" 50 15827000 "E08000030" "Walsall" "West Midlands"
"Wolverhampton" "2014/15" 72 19296000 "E08000031" "Wolverhampton" "West Midlands"
"Staffordshire" "2014/15" 36 4164125 "E07000192" "Cannock Chase" "Staffordshire"
"Staffordshire" "2014/15" 36 4164125 "E07000193" "East Staffordshire" "Staffordshire"
"Staffordshire" "2014/15" 36 4164125 "E07000194" "Lichfield" "Staffordshire"
"Staffordshire" "2014/15" 36 4164125 "E07000195" "Newcastle-under-Lyme" "Staffordshire"
"Staffordshire" "2014/15" 36 4164125 "E07000196" "South Staffordshire" "Staffordshire"
"Staffordshire" "2014/15" 36 4164125 "E07000197" "Stafford" "Staffordshire"
"Staffordshire" "2014/15" 36 4164125 "E07000198" "Staffordshire Moorlands" "Staffordshire"
"Staffordshire" "2014/15" 36 4164125 "E07000199" "Tamworth" "Staffordshire"
"Warwickshire" "2014/15" 37 4362000 "E07000218" "North Warwickshire" "Warwickshire"
"Warwickshire" "2014/15" 37 4362000 "E07000219" "Nuneaton and Bedworth" "Warwickshire"
"Warwickshire" "2014/15" 37 4362000 "E07000220" "Rugby" "Warwickshire"
"Warwickshire" "2014/15" 37 4362000 "E07000221" "Stratford-on-Avon" "Warwickshire"
"Warwickshire" "2014/15" 37 4362000 "E07000222" "Warwick" "Warwickshire"
"Worcestershire" "2014/15" 44 4421333.33333333 "E07000234" "Bromsgrove" "Worcestershire"
"Worcestershire" "2014/15" 44 4421333.33333333 "E07000235" "Malvern Hills" "Worcestershire"
"Worcestershire" "2014/15" 44 4421333.33333333 "E07000236" "Redditch" "Worcestershire"
"Worcestershire" "2014/15" 44 4421333.33333333 "E07000237" "Worcester" "Worcestershire"
"Worcestershire" "2014/15" 44 4421333.33333333 "E07000238" "Wychavon" "Worcestershire"
"Worcestershire" "2014/15" 44 4421333.33333333 "E07000239" "Wyre Forest" "Worcestershire"
"Peterborough" "2014/15" 41 9291000 "E06000031" "Peterborough UA" "Cambridgeshire"
"Luton" "2014/15" 51 13065000 "E06000032" "Luton UA" "Bedforshire"
"Southend-on-Sea" "2014/15" 38 8060000 "E06000033" "Southend-on-Sea UA" "Essex"
"Thurrock" "2014/15" 44 7624000 "E06000034" "Thurrock UA" "Essex"
"Bedford" "2014/15" 38 7343000 "E06000055" "Bedford UA" "Bedforshire"
"Central Bedfordshire" "2014/15" 37 10149000 "E06000056" "Central Bedfordshire UA" "Bedforshire"
"Cambridgeshire" "2014/15" 31 4459800 "E07000008" "Cambridge" "Cambridgeshire"
"Cambridgeshire" "2014/15" 31 4459800 "E07000009" "East Cambridgeshire" "Cambridgeshire"
"Cambridgeshire" "2014/15" 31 4459800 "E07000010" "Fenland" "Cambridgeshire"
"Cambridgeshire" "2014/15" 31 4459800 "E07000011" "Huntingdonshire" "Cambridgeshire"
"Cambridgeshire" "2014/15" 31 4459800 "E07000012" "South Cambridgeshire" "Cambridgeshire"
"Essex" "2014/15" 33 4186833.33333333 "E07000066" "Basildon" "Essex"
"Essex" "2014/15" 33 4186833.33333333 "E07000067" "Braintree" "Essex"
"Essex" "2014/15" 33 4186833.33333333 "E07000068" "Brentwood" "Essex"
"Essex" "2014/15" 33 4186833.33333333 "E07000069" "Castle Point" "Essex"
"Essex" "2014/15" 33 4186833.33333333 "E07000070" "Chelmsford" "Essex"
"Essex" "2014/15" 33 4186833.33333333 "E07000071" "Colchester" "Essex"
"Essex" "2014/15" 33 4186833.33333333 "E07000072" "Epping Forest" "Essex"
"Essex" "2014/15" 33 4186833.33333333 "E07000073" "Harlow" "Essex"
"Essex" "2014/15" 33 4186833.33333333 "E07000074" "Maldon" "Essex"
"Essex" "2014/15" 33 4186833.33333333 "E07000075" "Rochford" "Essex"
"Essex" "2014/15" 33 4186833.33333333 "E07000076" "Tendring" "Essex"
"Essex" "2014/15" 33 4186833.33333333 "E07000077" "Uttlesford" "Essex"
"Hertfordshire" "2014/15" 27 3764200 "E07000095" "Broxbourne" "Hertfordshire"
"Hertfordshire" "2014/15" 27 3764200 "E07000096" "Dacorum" "Hertfordshire"
"Hertfordshire" "2014/15" 27 3764200 "E07000097" "East Hertfordshire" "Hertfordshire"
"Hertfordshire" "2014/15" 27 3764200 "E07000098" "Hertsmere" "Hertfordshire"
"Hertfordshire" "2014/15" 27 3764200 "E07000099" "North Hertfordshire" "Hertfordshire"
"Hertfordshire" "2014/15" 27 3764200 "E07000100" "St Albans" "Hertfordshire"
"Hertfordshire" "2014/15" 27 3764200 "E07000101" "Stevenage" "Hertfordshire"
"Hertfordshire" "2014/15" 27 3764200 "E07000102" "Three Rivers" "Hertfordshire"
"Hertfordshire" "2014/15" 27 3764200 "E07000103" "Watford" "Hertfordshire"
"Hertfordshire" "2014/15" 27 3764200 "E07000104" "Welwyn Hatfield" "Hertfordshire"
"Norfolk" "2014/15" 33 4376142.85714286 "E07000143" "Breckland" "Norfolk"
"Norfolk" "2014/15" 33 4376142.85714286 "E07000144" "Broadland" "Norfolk"
"Norfolk" "2014/15" 33 4376142.85714286 "E07000145" "Great Yarmouth" "Norfolk"
"Norfolk" "2014/15" 33 4376142.85714286 "E07000146" "King’s Lynn and West Norfolk" "Norfolk"
"Norfolk" "2014/15" 33 4376142.85714286 "E07000147" "North Norfolk" "Norfolk"
"Norfolk" "2014/15" 33 4376142.85714286 "E07000148" "Norwich" "Norfolk"
"Norfolk" "2014/15" 33 4376142.85714286 "E07000149" "South Norfolk" "Norfolk"
"Suffolk" "2014/15" 34 3755571.42857143 "E07000200" "Babergh" "Suffolk"
"Suffolk" "2014/15" 34 3755571.42857143 "E07000201" "Forest Heath" "Suffolk"
"Suffolk" "2014/15" 34 3755571.42857143 "E07000202" "Ipswich" "Suffolk"
"Suffolk" "2014/15" 34 3755571.42857143 "E07000203" "Mid Suffolk" "Suffolk"
"Suffolk" "2014/15" 34 3755571.42857143 "E07000204" "St Edmundsbury" "Suffolk"
"Suffolk" "2014/15" 34 3755571.42857143 "E07000205" "Suffolk Coastal" "Suffolk"
"Suffolk" "2014/15" 34 3755571.42857143 "E07000206" "Waveney" "Suffolk"
"City of London" "2014/15" 186 1698000 "E09000001" "City of London" "Greater London"
"Barking and Dagenham" "2014/15" 60 14213000 "E09000002" "Barking and Dagenham" "Greater London"
"Barnet" "2014/15" 35 14335000 "E09000003" "Barnet" "Greater London"
"Bexley" "2014/15" 26 7574000 "E09000004" "Bexley" "Greater London"
"Brent" "2014/15" 56 18848000 "E09000005" "Brent" "Greater London"
"Bromley" "2014/15" 39 12954000 "E09000006" "Bromley" "Greater London"
"Camden" "2014/15" 108 26368000 "E09000007" "Camden" "Greater London"
"Croydon" "2014/15" 48 18825000 "E09000008" "Croydon" "Greater London"
"Ealing" "2014/15" 60 21974000 "E09000009" "Ealing" "Greater London"
"Enfield" "2014/15" 36 14257000 "E09000010" "Enfield" "Greater London"
"Greenwich" "2014/15" 64 19061000 "E09000011" "Greenwich" "Greater London"
"Hackney" "2014/15" 112 29818000 "E09000012" "Hackney" "Greater London"
"Hammersmith and Fulham" "2014/15" 108 20855000 "E09000013" "Hammersmith and Fulham" "Greater London"
"Haringey" "2014/15" 62 18189000 "E09000014" "Haringey" "Greater London"
"Harrow" "2014/15" 35 9146000 "E09000015" "Harrow" "Greater London"
"Havering" "2014/15" 33 9717000 "E09000016" "Havering" "Greater London"
"Hillingdon" "2014/15" 52 15709000 "E09000017" "Hillingdon" "Greater London"
"Hounslow" "2014/15" 44 14084000 "E09000018" "Hounslow" "Greater London"
"Islington" "2014/15" 112 25429000 "E09000019" "Islington" "Greater London"
"Kensington and Chelsea" "2014/15" 126 21214000 "E09000020" "Kensington and Chelsea" "Greater London"
"Kingston upon Thames" "2014/15" 52 9302000 "E09000021" "Kingston upon Thames" "Greater London"
"Lambeth" "2014/15" 78 26437000 "E09000022" "Lambeth" "Greater London"
"Lewisham" "2014/15" 66 20088000 "E09000023" "Lewisham" "Greater London"
"Merton" "2014/15" 42 9236000 "E09000024" "Merton" "Greater London"
"Newham" "2014/15" 68 26112000 "E09000025" "Newham" "Greater London"
"Redbridge" "2014/15" 32 11411000 "E09000026" "Redbridge" "Greater London"
"Richmond upon Thames" "2014/15" 39 7891000 "E09000027" "Richmond upon Thames" "Greater London"
"Southwark" "2014/15" 68 22946000 "E09000028" "Southwark" "Greater London"
"Sutton" "2014/15" 41 8619000 "E09000029" "Sutton" "Greater London"
"Tower Hamlets" "2014/15" 113 32261000 "E09000030" "Tower Hamlets" "Greater London"
"Waltham Forest" "2014/15" 38 12277000 "E09000031" "Waltham Forest" "Greater London"
"Wandsworth" "2014/15" 76 25431000 "E09000032" "Wandsworth" "Greater London"
"Westminster" "2014/15" 128 31235000 "E09000033" "Westminster" "Greater London"
"Medway" "2014/15" 44 14280000 NA NA NA
"Bracknell Forest" "2014/15" 22 3049000 "E06000036" "Bracknell Forest UA" "Berkshire"
"West Berkshire" "2014/15" 25 4819000 "E06000037" "West Berkshire UA" "Berkshire"
"Reading" "2014/15" 43 8212000 "E06000038" "Reading UA" "Berkshire"
"Slough" "2014/15" 31 5487000 "E06000039" "Slough UA" "Berkshire"
"Windsor and Maidenhead" "2014/15" 20 3511000 "E06000040" "Windsor and Maidenhead UA" "Berkshire"
"Wokingham" "2014/15" 22 4223000 "E06000041" "Wokingham UA" "Berkshire"
"Milton Keynes" "2014/15" 28 8788000 "E06000042" "Milton Keynes UA" "Buckinghamshire"
"Brighton and Hove" "2014/15" 64 18695000 "E06000043" "Brighton and Hove UA" "East Sussex"
"Portsmouth" "2014/15" 73 16178000 "E06000044" "Portsmouth UA" "Hampshire"
"Southampton" "2014/15" 54 15050000 "E06000045" "Southampton UA" "Hampshire"
"Isle of Wight" "2014/15" 41 6088000 "E06000046" "Isle of Wight UA" "Isle of Wight"
"Buckinghamshire" "2014/15" 28 4312250 "E07000004" "Aylesbury Vale" "Buckinghamshire"
"Buckinghamshire" "2014/15" 28 4312250 "E07000005" "Chiltern" "Buckinghamshire"
"Buckinghamshire" "2014/15" 28 4312250 "E07000006" "South Bucks" "Buckinghamshire"
"Buckinghamshire" "2014/15" 28 4312250 "E07000007" "Wycombe" "Buckinghamshire"
"East Sussex" "2014/15" 43 4901400 "E07000061" "Eastbourne" "East Sussex"
"East Sussex" "2014/15" 43 4901400 "E07000062" "Hastings" "East Sussex"
"East Sussex" "2014/15" 43 4901400 "E07000063" "Lewes" "East Sussex"
"East Sussex" "2014/15" 43 4901400 "E07000064" "Rother" "East Sussex"
"East Sussex" "2014/15" 43 4901400 "E07000065" "Wealden" "East Sussex"
"Hampshire" "2014/15" 25 3675272.72727273 "E07000086" "Eastleigh" "Hampshire"
"Hampshire" "2014/15" 25 3675272.72727273 "E07000087" "Fareham" "Hampshire"
"Hampshire" "2014/15" 25 3675272.72727273 "E07000088" "Gosport" "Hampshire"
"Hampshire" "2014/15" 25 3675272.72727273 "E07000089" "Hart" "Hampshire"
"Hampshire" "2014/15" 25 3675272.72727273 "E07000090" "Havant" "Hampshire"
"Hampshire" "2014/15" 25 3675272.72727273 "E07000091" "New Forest" "Hampshire"
"Hampshire" "2014/15" 25 3675272.72727273 "E07000092" "Rushmoor" "Hampshire"
"Hampshire" "2014/15" 25 3675272.72727273 "E07000093" "Test Valley" "Hampshire"
"Hampshire" "2014/15" 25 3675272.72727273 "E07000094" "Winchester" "Hampshire"
"Hampshire" "2014/15" 25 3675272.72727273 "E07000084" "Basingstoke and Deane" "Hampshire"
"Hampshire" "2014/15" 25 3675272.72727273 "E07000085" "East Hampshire" "Hampshire"
"Kent" "2014/15" 30 4568916.66666667 "E07000105" "Ashford" "Kent"
"Kent" "2014/15" 30 4568916.66666667 "E07000106" "Canterbury" "Kent"
"Kent" "2014/15" 30 4568916.66666667 "E07000107" "Dartford" "Kent"
"Kent" "2014/15" 30 4568916.66666667 "E07000108" "Dover" "Kent"
"Kent" "2014/15" 30 4568916.66666667 "E07000109" "Gravesham" "Kent"
"Kent" "2014/15" 30 4568916.66666667 "E07000110" "Maidstone" "Kent"
"Kent" "2014/15" 30 4568916.66666667 "E07000111" "Sevenoaks" "Kent"
"Kent" "2014/15" 30 4568916.66666667 "E07000112" "Shepway" "Kent"
"Kent" "2014/15" 30 4568916.66666667 "E07000113" "Swale" "Kent"
"Kent" "2014/15" 30 4568916.66666667 "E07000114" "Thanet" "Kent"
"Kent" "2014/15" 30 4568916.66666667 "E07000115" "Tonbridge and Malling" "Kent"
"Kent" "2014/15" 30 4568916.66666667 "E07000116" "Tunbridge Wells" "Kent"
"Oxfordshire" "2014/15" 37 5217200 "E07000177" "Cherwell" "Oxfordshire"
"Oxfordshire" "2014/15" 37 5217200 "E07000178" "Oxford" "Oxfordshire"
"Oxfordshire" "2014/15" 37 5217200 "E07000179" "South Oxfordshire" "Oxfordshire"
"Oxfordshire" "2014/15" 37 5217200 "E07000180" "Vale of White Horse" "Oxfordshire"
"Oxfordshire" "2014/15" 37 5217200 "E07000181" "West Oxfordshire" "Oxfordshire"
"Surrey" "2014/15" 18 2323727.27272727 "E07000207" "Elmbridge" "Surrey"
"Surrey" "2014/15" 18 2323727.27272727 "E07000208" "Epsom and Ewell" "Surrey"
"Surrey" "2014/15" 18 2323727.27272727 "E07000209" "Guildford" "Surrey"
"Surrey" "2014/15" 18 2323727.27272727 "E07000210" "Mole Valley" "Surrey"
"Surrey" "2014/15" 18 2323727.27272727 "E07000211" "Reigate and Banstead" "Surrey"
"Surrey" "2014/15" 18 2323727.27272727 "E07000212" "Runnymede" "Surrey"
"Surrey" "2014/15" 18 2323727.27272727 "E07000213" "Spelthorne" "Surrey"
"Surrey" "2014/15" 18 2323727.27272727 "E07000214" "Surrey Heath" "Surrey"
"Surrey" "2014/15" 18 2323727.27272727 "E07000215" "Tandridge" "Surrey"
"Surrey" "2014/15" 18 2323727.27272727 "E07000216" "Waverley" "Surrey"
"Surrey" "2014/15" 18 2323727.27272727 "E07000217" "Woking" "Surrey"
"West Sussex" "2014/15" 31 3920714.28571429 "E07000223" "Adur" "West Sussex"
"West Sussex" "2014/15" 31 3920714.28571429 "E07000224" "Arun" "West Sussex"
"West Sussex" "2014/15" 31 3920714.28571429 "E07000225" "Chichester" "West Sussex"
"West Sussex" "2014/15" 31 3920714.28571429 "E07000226" "Crawley" "West Sussex"
"West Sussex" "2014/15" 31 3920714.28571429 "E07000227" "Horsham" "West Sussex"
"West Sussex" "2014/15" 31 3920714.28571429 "E07000228" "Mid Sussex" "West Sussex"
"West Sussex" "2014/15" 31 3920714.28571429 "E07000229" "Worthing" "West Sussex"
"Bath and North East Somerset" "2014/15" 39 7384000 "E06000022" "Bath and North East Somerset UA" "Somerset"
"Bristol, City of" "2014/15" 57 29122000 NA NA NA
"North Somerset" "2014/15" 33 7593000 "E06000024" "North Somerset UA" "Somerset"
"South Gloucestershire" "2014/15" 23 7345000 "E06000025" "South Gloucestershire UA" "Gloucestershire"
"Plymouth" "2014/15" 39 12276000 "E06000026" "Plymouth UA" "Devon"
"Torbay" "2014/15" 52 7351000 "E06000027" "Torbay UA" "Devon"
"Bournemouth" "2014/15" 36 8296000 "E06000028" "Bournemouth UA" "Dorset"
"Poole" "2014/15" 38 6057000 "E06000029" "Poole UA" "Dorset"
"Swindon" "2014/15" 33 8680000 "E06000030" "Swindon UA" "Wiltshire"
"Cornwall" "2014/15" 32 18339000 "E06000052" "Cornwall UA" "Cornwall and Scilly"
"Isles of Scilly" "2014/15" 30 73000 "E06000053" "Isles of Scilly UA" "Cornwall and Scilly"
"Wiltshire" "2014/15" 25 14587000 "E06000054" "Wiltshire UA" "Wiltshire"
