CASSR Code,CASSR Name,Current LA code,Local authority,County,,,,,,,,,
609,Suffolk,E07000201,Forest Heath,Suffolk,,,,,,,,,
609,Suffolk,E07000202,Ipswich,Suffolk,,,,,,,,,
609,Suffolk,E07000203,Mid Suffolk,Suffolk,,,,,,,,,
609,Suffolk,E07000204,St Edmundsbury,Suffolk,,,,,,,,,
609,Suffolk,E07000205,Suffolk Coastal,Suffolk,,,,,,,,,
609,Suffolk,E07000206,Waveney,Suffolk,,,,,,,,,
611,Luton,E06000032,Luton UA,Bedforshire,,,,,,,,,
612,Buckinghamshire,E07000004,Aylesbury Vale,Buckinghamshire,,,,,,,,,
612,Buckinghamshire,E07000005,Chiltern,Buckinghamshire,,,,,,,,,
612,Buckinghamshire,E07000006,South Bucks,Buckinghamshire,,,,,,,,,
612,Buckinghamshire,E07000007,Wycombe,Buckinghamshire,,,,,,,,,
613,Milton Keynes,E06000042,Milton Keynes UA,Buckinghamshire,,,,,,,,,
614,Bracknell Forest,E06000036,Bracknell Forest UA,Berkshire,,,,,,,,,
615,West Berkshire,E06000037,West Berkshire UA,Berkshire,,,,,,,,,
616,Reading,E06000038,Reading UA,Berkshire,,,,,,,,,
617,Slough,E06000039,Slough UA,Berkshire,,,,,,,,,
618,Windsor and Maidenhead,E06000040,Windsor and Maidenhead UA,Berkshire,,,,,,,,,
619,Wokingham,E06000041,Wokingham UA,Berkshire,,,,,,,,,
620,Essex,E07000066,Basildon,Essex,,,,,,,,,
620,Essex,E07000067,Braintree,Essex,,,,,,,,,
620,Essex,E07000068,Brentwood,Essex,,,,,,,,,
620,Essex,E07000069,Castle Point,Essex,,,,,,,,,
620,Essex,E07000070,Chelmsford,Essex,,,,,,,,,
620,Essex,E07000071,Colchester,Essex,,,,,,,,,
620,Essex,E07000072,Epping Forest,Essex,,,,,,,,,
620,Essex,E07000073,Harlow,Essex,,,,,,,,,
620,Essex,E07000074,Maldon,Essex,,,,,,,,,
620,Essex,E07000075,Rochford,Essex,,,,,,,,,
620,Essex,E07000076,Tendring,Essex,,,,,,,,,
620,Essex,E07000077,Uttlesford,Essex,,,,,,,,,
621,Southend-on-Sea,E06000033,Southend-on-Sea UA,Essex,,,,,,,,,
622,Thurrock,E06000034,Thurrock UA,Essex,,,,,,,,,
623,Cambridgeshire,E07000008,Cambridge,Cambridgeshire,,,,,,,,,
623,Cambridgeshire,E07000009,East Cambridgeshire,Cambridgeshire,,,,,,,,,
623,Cambridgeshire,E07000010,Fenland,Cambridgeshire,,,,,,,,,
623,Cambridgeshire,E07000011,Huntingdonshire,Cambridgeshire,,,,,,,,,
623,Cambridgeshire,E07000012,South Cambridgeshire,Cambridgeshire,,,,,,,,,
624,Peterborough,E06000031,Peterborough UA,Cambridgeshire,,,,,,,,,
625,Bedford,E06000055,Bedford UA,Bedforshire,,,,,,,,,
626,Central Bedfordshire,E06000056,Central Bedfordshire UA,Bedforshire,,,,,,,,,
702,Camden,E09000007,Camden,Greater London,,,,,,,,,
703,Greenwich,E09000011,Greenwich,Greater London,,,,,,,,,
704,Hackney,E09000012,Hackney,Greater London,,,,,,,,,
705,Hammersmith and Fulham,E09000013,Hammersmith and Fulham,Greater London,,,,,,,,,
706,Islington,E09000019,Islington,Greater London,,,,,,,,,
707,Kensington and Chelsea,E09000020,Kensington and Chelsea,Greater London,,,,,,,,,
708,Lambeth,E09000022,Lambeth,Greater London,,,,,,,,,
709,Lewisham,E09000023,Lewisham,Greater London,,,,,,,,,
710,Southwark,E09000028,Southwark,Greater London,,,,,,,,,
711,Tower Hamlets,E09000030,Tower Hamlets,Greater London,,,,,,,,,
712,Wandsworth,E09000032,Wandsworth,Greater London,,,,,,,,,
713,Westminster,E09000033,Westminster,Greater London,,,,,,,,,
714,City of London,E09000001,City of London,Greater London,,,,,,,,,
716,Barking and Dagenham,E09000002,Barking and Dagenham,Greater London,,,,,,,,,
717,Barnet,E09000003,Barnet,Greater London,,,,,,,,,
718,Bexley,E09000004,Bexley,Greater London,,,,,,,,,
719,Brent,E09000005,Brent,Greater London,,,,,,,,,
720,Bromley,E09000006,Bromley,Greater London,,,,,,,,,
721,Croydon,E09000008,Croydon,Greater London,,,,,,,,,
722,Ealing,E09000009,Ealing,Greater London,,,,,,,,,
723,Enfield,E09000010,Enfield,Greater London,,,,,,,,,
724,Haringey,E09000014,Haringey,Greater London,,,,,,,,,
725,Harrow,E09000015,Harrow,Greater London,,,,,,,,,
726,Havering,E09000016,Havering,Greater London,,,,,,,,,
727,Hillingdon,E09000017,Hillingdon,Greater London,,,,,,,,,
728,Hounslow,E09000018,Hounslow,Greater London,,,,,,,,,
729,Kingston upon Thames,E09000021,Kingston upon Thames,Greater London,,,,,,,,,
730,Merton,E09000024,Merton,Greater London,,,,,,,,,
731,Newham,E09000025,Newham,Greater London,,,,,,,,,
732,Redbridge,E09000026,Redbridge,Greater London,,,,,,,,,
733,Richmond upon Thames,E09000027,Richmond upon Thames,Greater London,,,,,,,,,
734,Sutton,E09000029,Sutton,Greater London,,,,,,,,,
735,Waltham Forest,E09000031,Waltham Forest,Greater London,,,,,,,,,
803,Isle of Wight,E06000046,Isle of Wight UA,Isle of Wight,,,,,,,,,
805,Surrey,E07000207,Elmbridge,Surrey,,,,,,,,,
805,Surrey,E07000208,Epsom and Ewell,Surrey,,,,,,,,,
805,Surrey,E07000209,Guildford,Surrey,,,,,,,,,
805,Surrey,E07000210,Mole Valley,Surrey,,,,,,,,,
805,Surrey,E07000211,Reigate and Banstead,Surrey,,,,,,,,,
805,Surrey,E07000212,Runnymede,Surrey,,,,,,,,,
805,Surrey,E07000213,Spelthorne,Surrey,,,,,,,,,
805,Surrey,E07000214,Surrey Heath,Surrey,,,,,,,,,
805,Surrey,E07000215,Tandridge,Surrey,,,,,,,,,
805,Surrey,E07000216,Waverley,Surrey,,,,,,,,,
805,Surrey,E07000217,Woking,Surrey,,,,,,,,,
807,West Sussex,E07000223,Adur,West Sussex,,,,,,,,,
807,West Sussex,E07000224,Arun,West Sussex,,,,,,,,,
807,West Sussex,E07000225,Chichester,West Sussex,,,,,,,,,
807,West Sussex,E07000226,Crawley,West Sussex,,,,,,,,,
807,West Sussex,E07000227,Horsham,West Sussex,,,,,,,,,
807,West Sussex,E07000228,Mid Sussex,West Sussex,,,,,,,,,
807,West Sussex,E07000229,Worthing,West Sussex,,,,,,,,,
809,Dorset,E07000048,Christchurch,Dorset,,,,,,,,,
809,Dorset,E07000049,East Dorset,Dorset,,,,,,,,,
809,Dorset,E07000050,North Dorset,Dorset,,,,,,,,,
809,Dorset,E07000051,Purbeck,Dorset,,,,,,,,,
809,Dorset,E07000052,West Dorset,Dorset,,,,,,,,,
809,Dorset,E07000053,Weymouth and Portland,Dorset,,,,,,,,,
810,Bournemouth,E06000028,Bournemouth UA,Dorset,,,,,,,,,
811,Poole,E06000029,Poole UA,Dorset,,,,,,,,,
812,Hampshire,E07000086,Eastleigh,Hampshire,,,,,,,,,
812,Hampshire,E07000087,Fareham,Hampshire,,,,,,,,,
812,Hampshire,E07000088,Gosport,Hampshire,,,,,,,,,
812,Hampshire,E07000089,Hart,Hampshire,,,,,,,,,
812,Hampshire,E07000090,Havant,Hampshire,,,,,,,,,
812,Hampshire,E07000091,New Forest,Hampshire,,,,,,,,,
812,Hampshire,E07000092,Rushmoor,Hampshire,,,,,,,,,
812,Hampshire,E07000093,Test Valley,Hampshire,,,,,,,,,
812,Hampshire,E07000094,Winchester,Hampshire,,,,,,,,,
812,Hampshire,E07000084,Basingstoke and Deane,Hampshire,,,,,,,,,
812,Hampshire,E07000085,East Hampshire,Hampshire,,,,,,,,,
813,Portsmouth,E06000044,Portsmouth UA,Hampshire,,,,,,,,,
814,Southampton,E06000045,Southampton UA,Hampshire,,,,,,,,,
815,East Sussex,E07000061,Eastbourne,East Sussex,,,,,,,,,
815,East Sussex,E07000062,Hastings,East Sussex,,,,,,,,,
815,East Sussex,E07000063,Lewes,East Sussex,,,,,,,,,
815,East Sussex,E07000064,Rother,East Sussex,,,,,,,,,
815,East Sussex,E07000065,Wealden,East Sussex,,,,,,,,,
816,Brighton and Hove,E06000043,Brighton and Hove UA,East Sussex,,,,,,,,,
817,Wiltshire,E06000054,Wiltshire UA,Wiltshire,,,,,,,,,
819,Swindon,E06000030,Swindon UA,Wiltshire,,,,,,,,,
820,Kent,E07000105,Ashford,Kent,,,,,,,,,
820,Kent,E07000106,Canterbury,Kent,,,,,,,,,
820,Kent,E07000107,Dartford,Kent,,,,,,,,,
820,Kent,E07000108,Dover,Kent,,,,,,,,,
820,Kent,E07000109,Gravesham,Kent,,,,,,,,,
820,Kent,E07000110,Maidstone,Kent,,,,,,,,,
820,Kent,E07000111,Sevenoaks,Kent,,,,,,,,,
820,Kent,E07000112,Shepway,Kent,,,,,,,,,
820,Kent,E07000113,Swale,Kent,,,,,,,,,
820,Kent,E07000114,Thanet,Kent,,,,,,,,,
820,Kent,E07000115,Tonbridge and Malling,Kent,,,,,,,,,
820,Kent,E07000116,Tunbridge Wells,Kent,,,,,,,,,
821,Medway Towns,E06000035,Medway UA,Kent,,,,,,,,,
902,Cornwall,E06000052,Cornwall UA,Cornwall and Scilly,,,,,,,,,
904,Gloucestershire,E07000078,Cheltenham,Gloucestershire,,,,,,,,,
904,Gloucestershire,E07000079,Cotswold,Gloucestershire,,,,,,,,,
904,Gloucestershire,E07000080,Forest of Dean,Gloucestershire,,,,,,,,,
904,Gloucestershire,E07000081,Gloucester,Gloucestershire,,,,,,,,,
904,Gloucestershire,E07000082,Stroud,Gloucestershire,,,,,,,,,
904,Gloucestershire,E07000083,Tewkesbury,Gloucestershire,,,,,,,,,
905,Somerset,E07000187,Mendip,Somerset,,,,,,,,,
905,Somerset,E07000188,Sedgemoor,Somerset,,,,,,,,,
905,Somerset,E07000189,South Somerset,Somerset,,,,,,,,,
905,Somerset,E07000190,Taunton Deane,Somerset,,,,,,,,,
905,Somerset,E07000191,West Somerset,Somerset,,,,,,,,,
906,Isles of Scilly,E06000053,Isles of Scilly UA,Cornwall and Scilly,,,,,,,,,
908,Bath and North East Somerset,E06000022,Bath and North East Somerset UA,Somerset,,,,,,,,,
909,Bristol,E06000023,"Bristol, City of UA",Bristol,,,,,,,,,
910,North Somerset,E06000024,North Somerset UA,Somerset,,,,,,,,,
911,South Gloucestershire,E06000025,South Gloucestershire UA,Gloucestershire,,,,,,,,,
912,Devon,E07000040,East Devon,Devon,,,,,,,,,
912,Devon,E07000041,Exeter,Devon,,,,,,,,,
912,Devon,E07000042,Mid Devon,Devon,,,,,,,,,
912,Devon,E07000043,North Devon,Devon,,,,,,,,,
912,Devon,E07000044,South Hams,Devon,,,,,,,,,
912,Devon,E07000045,Teignbridge,Devon,,,,,,,,,
912,Devon,E07000046,Torridge,Devon,,,,,,,,,
912,Devon,E07000047,West Devon,Devon,,,,,,,,,
913,Plymouth,E06000026,Plymouth UA,Devon,,,,,,,,,
914,Torbay,E06000027,Torbay UA,Devon,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
