"Lambeth","1213","14600"
"Dorset","1213","14460"
"Trafford","1213","14385"
"Sheffield","1213","14330"
"Salford","1213","14220"
"Wirral","1213","13990"
"Northumberland","1213","13820"
"East Riding of Yorkshire","1213","13740"
"St. Helens","1213","13480"
"Wolverhampton","1213","13350"
"Manchester","1213","13320"
"Lewisham","1213","13195"
"Redbridge","1213","11380"
"Leicester","1213","11300"
"North Somerset","1213","11255"
"Suffolk","1213","11195"
"Bromley","1213","11090"
"York","1213","10895"
"Sunderland","1213","10815"
"Rotherham","1213","10705"
"Newham","1213","10635"
"Warwickshire","1213","10570"
"Barking and Dagenham","1213","10380"
"Herefordshire","1213","10270"
"Wigan","1213","10210"
"Barnet","1213","10060"
"Greenwich","1213","9950"
"South Tyneside","1213","9950"
"Newcastle upon Tyne","1213","9910"
"Harrow","1213","9825"
"Derby","1213","9600"
"Bolton","1213","9515"
"Bristol","1213","9175"
"Croydon","1213","9100"
"Southampton","1213","9080"
"North Tyneside","1213","8600"
"Tameside","1213","8530"
"Haringey","1213","8375"
"Peterborough","1213","8340"
"Doncaster","1213","8320"
"Calderdale","1213","8320"
"Plymouth","1213","8305"
"Bexley","1213","8220"
"Kingston upon Hull","1213","8160"
"North East Lincolnshire","1213","8000"
"Swindon","1213","7930"
"Bury","1213","7880"
"Middlesbrough","1213","7755"
"North Lincolnshire","1213","7705"
"Enfield","1213","7620"
"Hackney","1213","7565"
"Stoke-on-Trent","1213","7455"
"Oldham","1213","7415"
"Rochdale","1213","7365"
"Westminster","1213","7300"
"Coventry","1213","6960"
"Barnsley","1213","6955"
"Luton","1213","6655"
"Poole","1213","6625"
"Shropshire","1213","6530"
"Gateshead","1213","6505"
"Warrington","1213","6380"
"Kensington and Chelsea","1213","6355"
"Brighton and Hove","1213","6330"
"South Gloucestershire","1213","6245"
"Torbay","1213","6160"
"Havering","1213","6130"
"Wokingham","1213","6045"
"Bournemouth","1213","5940"
"Redcar and Cleveland","1213","5935"
"Brent","1213","5865"
"Stockton-on-Tees","1213","5840"
"Oxfordshire","1213","5800"
"Blackburn with Darwen","1213","5695"
"Knowsley","1213","5515"
"Central Bedfordshire","1213","5495"
"Waltham Forest","1213","5460"
"Portsmouth","1213","5420"
"Tower Hamlets","1213","5360"
"Hounslow","1213","5325"
"Nottingham","1213","5230"
"Solihull","1213","5050"
"Hartlepool","1213","4845"
"Camden","1213","4695"
"Halton","1213","4645"
"Richmond upon Thames","1213","4625"
"Thurrock","1213","4605"
"Southwark","1213","4575"
"Isle of Wight","1213","4500"
"Walsall","1213","4460"
"Wandsworth","1213","4440"
"West Berkshire","1213","4340"
"Milton Keynes","1213","4275"
"Windsor and Maidenhead","1213","4240"
"Islington","1213","4030"
"Kingston upon Thames","1213","3870"
"Bracknell Forest","1213","3845"
"Sutton","1213","3790"
"Hillingdon","1213","3765"
"Darlington","1213","3750"
"Bedford","1213","3630"
"Merton","1213","3430"
"Telford and the Wrekin","1213","3345"
"Blackpool","1213","3240"
"Bath and North East Somerset","1213","2915"
"Reading","1213","2710"
"Hammersmith and Fulham","1213","2580"
"Slough","1213","1765"
"Rutland","1213","1695"
"Isles of Scilly","1213","270"
"City of London","1213","145"
"Cornwall","1112","58045"
"Hampshire","1112","52335"
"Essex","1112","49368"
"Lancashire","1112","48699"
"North Yorkshire","1112","48579"
"Ealing","1112","47799"
"Norfolk","1112","44996"
"Kent","1112","44507"
