Unnamed: 0,Unnamed: 1,Current LA code,Local authority,County,Region,Usual residents 1991,Usual residents 2001,Usual residents 2011,Percentage change in usual residents 2001,Percentage change in usual residents 2011,Population density (km2) 2001,Population density (km2) 2011,Sex ratio 2001,Sex ratio 2011,Median age 2001,Median age 2011,Percentage of population aged 0-4 2001,Percentage of population aged 0-4 2011,Percentage of population aged 0-14 2001,Percentage of population aged 0-14 2011,Percentage of population aged 15-64 2001,Percentage of population aged 15-64 2011,Percentage of population aged 65 and over 2001,Percentage of population aged 65 and over 2011,Percentage of population aged 90 and over 2001,Percentage of population aged 90 and over 2011,Short term residents 2011,"Short-term residents per 10,000 usual residents 2011",Households 2001,Households 2011,Percentage change in households 2011,Average household size (persons) 2011,Response rate 2001,Response rate 2011,Internet return rates 2011
321.0,21UH,E07000065,Wealden,East Sussex,South East,"130,900","140,200","148,915",7.1,6.2,168.0,179,91.0,93.1,43.0,46.0,5.3,5.0,18.0,16.5,60.8,60.5,21.1,22.9,1.1,1.3,387,26.0,"58,000","62,676",8.1,2.3,97.7,95.4,14.0
14.0,24UB,E07000084,Basingstoke and Deane,Hampshire,South East,"145,300","152,900","167,799",5.2,9.7,241.0,265,98.1,98.1,37.0,39.0,6.5,6.8,19.9,18.9,67.7,66.7,12.4,14.4,0.5,0.6,264,15.7,"62,000","69,315",11.8,2.4,96.2,96.9,21.6
93.0,24UC,E07000085,East Hampshire,Hampshire,South East,"103,900","109,400","115,608",5.3,5.7,213.0,225,96.8,94.7,40.0,44.0,5.8,5.4,19.0,17.3,65.1,63.4,15.8,19.3,0.7,1.0,134,11.6,"44,000","47,258",7.4,2.4,97.8,96.3,17.6
100.0,24UD,E07000086,Eastleigh,Hampshire,South East,"106,600","116,300","125,199",9.1,7.7,1458.0,"1,570",96.5,96.2,38.0,41.0,5.9,6.2,19.7,17.7,65.7,65.7,14.8,16.6,0.6,0.8,124,9.9,"47,000","52,177",11.0,2.4,97.1,95.7,18.2
108.0,24UE,E07000087,Fareham,Hampshire,South East,"99,600","108,200","111,581",8.6,3.1,1457.0,"1,503",96.2,95.9,40.0,44.0,5.5,5.0,18.2,16.2,64.2,63.4,17.5,20.4,0.7,0.9,97,8.7,"44,000","46,579",5.9,2.4,97.2,96.1,19.4
117.0,24UF,E07000088,Gosport,Hampshire,South East,"76,500","76,700","82,622",0.3,7.7,3034.0,"3,267",95.7,97.3,37.0,40.0,6.1,6.6,19.3,18.3,64.5,64.7,16.0,17.1,0.7,0.8,83,10.0,"31,000","35,430",14.3,2.3,96.9,92.7,18.0
132.0,24UG,E07000089,Hart,Hampshire,South East,"80,500","83,600","91,033",3.9,8.9,388.0,423,101.4,98.5,38.0,41.0,6.0,6.2,19.0,18.9,68.1,64.6,12.8,16.5,0.6,0.7,104,11.4,"33,000","35,510",7.6,2.5,98.0,96.0,22.3
135.0,24UH,E07000090,Havant,Hampshire,South East,"119,800","116,900","120,684",-2.4,3.2,2112.0,"2,179",92.4,94.4,41.0,44.0,5.5,5.6,18.5,16.8,62.4,62.1,19.0,21.1,0.7,1.0,59,4.9,"49,000","51,311",4.7,2.3,98.7,94.6,15.2
186.0,24UJ,E07000091,New Forest,Hampshire,South East,"160,900","169,500","176,462",5.3,4.1,225.0,234,91.7,92.5,44.0,47.0,4.9,4.9,17.1,15.2,60.3,59.8,22.7,25.0,1.0,1.5,182,10.3,"72,000","76,839",6.7,2.3,97.3,96.3,13.7
238.0,24UL,E07000092,Rushmoor,Hampshire,South East,"85,900","90,900","93,807",5.8,3.2,2328.0,"2,403",102.0,99.4,34.0,36.0,6.9,7.2,20.2,18.9,68.3,68.9,11.7,12.2,0.4,0.6,333,35.5,"35,000","36,344",3.8,2.5,87.6,94.6,21.8
297.0,24UN,E07000093,Test Valley,Hampshire,South East,"101,300","110,000","116,398",8.6,5.8,175.0,185,96.4,95.6,39.0,43.0,5.9,5.8,19.7,17.5,65.2,64.1,15.2,18.4,0.7,0.9,165,14.2,"44,000","47,626",8.2,2.4,97.0,96.1,16.8
335.0,24UP,E07000094,Winchester,Hampshire,South East,"98,400","107,300","116,595",9.0,8.7,162.0,176,96.2,94.4,40.0,42.0,5.3,5.6,17.3,17.2,65.4,64.1,17.1,18.7,0.9,1.0,415,35.6,"43,000","46,865",9.0,2.4,96.3,95.9,17.9
6.0,29UB,E07000105,Ashford,Kent,South East,"93,100","103,000","117,956",10.6,14.5,177.0,203,94.7,94.2,38.0,40.0,6.3,6.6,19.9,19.5,64.0,63.6,16.2,16.9,0.6,0.8,149,12.6,"42,000","47,787",13.8,2.4,95.9,95.8,15.6
49.0,29UC,E07000106,Canterbury,Kent,South East,"129,600","135,400","151,145",4.5,11.6,438.0,489,90.2,92.5,39.0,39.0,5.0,5.0,17.1,15.5,63.7,65.7,19.3,18.8,1.0,1.1,"1,316",87.1,"56,000","60,771",8.5,2.3,96.0,95.1,14.0
81.0,29UD,E07000107,Dartford,Kent,South East,"80,100","86,000","97,365",7.4,13.2,1182.0,"1,338",96.3,97.5,36.0,37.0,6.5,6.9,20.1,19.2,65.3,66.5,14.4,14.3,0.6,0.7,160,16.4,"35,000","40,081",14.5,2.4,96.1,93.6,18.4
87.0,29UE,E07000108,Dover,Kent,South East,"104,400","104,600","111,674",0.2,6.8,332.0,354,92.8,96.2,40.0,44.0,5.5,5.6,18.8,16.8,62.5,63.0,18.7,20.2,0.9,1.0,163,14.6,"44,000","48,310",9.8,2.3,95.0,93.1,13.6
118.0,29UG,E07000109,Gravesham,Kent,South East,"93,300","95,800","101,720",2.7,6.2,968.0,"1,027",95.9,97.2,38.0,39.0,6.2,6.5,20.1,19.1,64.4,64.9,15.3,16.0,0.5,0.7,240,23.6,"38,000","40,431",6.4,2.5,92.9,93.5,17.1
168.0,29UH,E07000110,Maidstone,Kent,South East,"137,000","139,100","155,143",1.5,11.5,354.0,394,96.9,97.3,39.0,41.0,5.8,6.2,18.4,17.9,66.0,65.0,15.5,17.1,0.6,0.8,430,27.7,"57,000","63,447",11.3,2.4,96.6,95.6,15.3
247.0,29UK,E07000111,Sevenoaks,Kent,South East,"109,400","109,200","114,893",-0.2,5.2,296.0,311,93.8,94.2,41.0,43.0,5.9,6.1,19.1,18.3,63.8,62.9,17.1,18.9,0.7,0.9,151,13.1,"44,000","47,020",6.9,2.4,96.7,95.0,15.8
249.0,29UL,E07000112,Shepway,Kent,South East,"93,000","96,300","107,969",3.5,12.1,270.0,303,91.8,96.9,41.0,43.0,5.5,5.6,18.4,16.6,61.6,62.7,20.0,20.8,0.9,1.2,73,6.8,"41,000","47,379",15.6,2.2,95.4,92.0,14.6
287.0,29UM,E07000113,Swale,Kent,South East,"116,100","123,100","135,835",6.0,10.3,330.0,364,97.3,97.8,38.0,40.0,6.3,6.4,20.1,18.8,64.8,64.6,15.0,16.7,0.6,0.7,136,10.0,"49,000","55,585",13.4,2.4,96.8,95.7,15.1
299.0,29UN,E07000114,Thanet,Kent,South East,"126,100","126,800","134,186",0.6,5.8,1227.0,"1,299",90.0,92.7,41.0,43.0,5.5,6.0,18.8,17.8,59.4,61.0,21.8,21.2,1.1,1.2,204,15.2,"55,000","59,513",8.2,2.2,95.2,94.6,14.4
303.0,29UP,E07000115,Tonbridge and Malling,Kent,South East,"102,100","107,800","120,805",5.6,12.1,449.0,503,96.0,96.1,38.0,41.0,6.3,6.2,20.2,19.3,64.8,63.8,15.2,16.9,0.6,0.7,190,15.7,"43,000","48,140",12.0,2.5,98.2,95.5,16.4
309.0,29UQ,E07000116,Tunbridge Wells,Kent,South East,"101,500","104,000","115,049",2.5,10.6,314.0,347,92.8,96.5,39.0,40.0,6.2,6.4,19.4,19.1,64.4,64.3,16.3,16.6,0.9,1.0,234,20.3,"43,000","47,174",9.7,2.4,95.2,91.9,15.2
59.0,38UB,E07000177,Cherwell,Oxfordshire,South East,"124,100","132,000","141,868",6.4,7.5,224.0,241,97.9,97.7,36.0,39.0,6.7,6.9,19.7,18.8,66.7,65.9,13.6,15.3,0.5,0.7,465,32.8,"53,000","56,728",7.0,2.4,96.2,96.5,17.8
211.0,38UC,E07000178,Oxford,Oxfordshire,South East,"128,900","135,500","151,906",5.1,12.1,2970.0,"3,331",99.6,98.4,31.0,29.0,4.9,6.1,14.8,15.6,72.4,73.4,12.9,11.0,0.6,0.6,"3,977",261.8,"52,000","55,375",6.5,2.4,91.1,92.6,20.9
263.0,38UD,E07000179,South Oxfordshire,Oxfordshire,South East,"120,000","128,300","134,257",6.9,4.6,189.0,198,97.4,96.7,39.0,42.0,6.2,6.1,19.0,18.1,65.6,63.8,15.3,18.2,0.7,0.9,281,20.9,"52,000","54,104",4.0,2.4,97.4,96.9,17.7
311.0,38UE,E07000180,Vale of White Horse,Oxfordshire,South East,"112,100","115,800","120,988",3.3,4.5,200.0,209,99.0,98.6,39.0,41.0,6.0,6.1,19.3,17.8,65.4,64.2,15.5,18.0,0.6,0.9,599,49.5,"46,000","49,407",7.4,2.4,98.3,97.1,18.3
329.0,38UF,E07000181,West Oxfordshire,Oxfordshire,South East,"91,000","95,700","104,779",5.2,9.5,134.0,147,96.9,96.5,39.0,42.0,6.0,6.1,19.1,17.3,64.8,64.3,16.0,18.4,0.7,0.9,148,14.1,"39,000","43,241",10.9,2.4,96.8,96.9,16.3
102.0,43UB,E07000207,Elmbridge,Surrey,South East,"113,700","122,700","130,875",7.9,6.7,1291.0,"1,377",94.5,94.1,39.0,40.0,6.6,7.2,19.5,20.1,64.4,63.5,16.3,16.4,0.9,1.0,366,28.0,"51,000","52,922",3.8,2.4,95.3,95.1,19.5
105.0,43UC,E07000208,Epsom and Ewell,Surrey,South East,"67,300","67,100","75,102",-0.3,11.9,1969.0,"2,204",93.6,94.1,40.0,40.0,5.8,6.2,17.9,18.3,65.1,64.9,16.8,16.7,0.9,0.9,223,29.7,"27,000","29,784",10.3,2.5,97.8,94.7,17.1
121.0,43UD,E07000209,Guildford,Surrey,South East,"126,000","129,800","137,183",3.0,5.7,479.0,506,97.4,98.1,37.0,38.0,5.5,5.9,16.9,16.8,67.9,67.6,15.2,15.6,0.7,0.9,"1,044",76.1,"52,000","53,973",3.8,2.4,93.6,95.3,19.3
183.0,43UE,E07000210,Mole Valley,Surrey,South East,"79,200","80,300","85,375",1.4,6.3,311.0,330,94.4,95.7,42.0,44.0,5.6,5.4,17.8,17.2,63.1,62.1,19.1,20.7,1.0,1.1,149,17.5,"34,000","35,828",5.4,2.3,96.3,95.1,16.8
