"Sunderland","1112","18-64","4984"
"Cambridgeshire","1112","18-64","4926"
"Sheffield","1112","18-64","4792"
"Leicestershire","1112","18-64","4749"
"Somerset","1112","18-64","4655"
"East Riding of Yorkshire UA","1112","18-64","4635"
"Coventry","1112","18-64","4615"
"Northumberland","1112","18-64","4553"
"Worcestershire","1112","18-64","4503"
"Bradford","1112","18-64","4388"
"Manchester","1112","18-64","4349"
"Shropshire","1112","18-64","4318"
"Bury","1112","18-64","4311"
"Derbyshire","1112","18-64","4252"
"Sandwell","1112","18-64","4199"
"Brent","1112","18-64","4165"
"Stoke-on-Trent UA","1112","18-64","4156"
"Dudley","1112","18-64","4150"
"Trafford","1112","18-64","3972"
"Swindon UA","1112","18-64","3832"
"Wirral","1112","18-64","3658"
"Southampton UA","1112","18-64","3631"
"Nottingham UA","1112","18-64","3611"
"Kingston upon Hull UA","1112","18-64","3587"
"Warwickshire","1112","18-64","3498"
"Southwark","1112","18-64","3467"
"Lambeth","1112","18-64","3307"
"Cheshire West and Chester UA","1112","18-64","3286"
"Bath and North East Somerset UA","1112","18-64","3213"
"Derby UA","1112","18-64","3204"
"Newham","1112","18-64","3182"
"North Somerset UA","1112","18-64","3139"
"Croydon","1112","18-64","3085"
"Ealing","1112","18-64","3072"
"Portsmouth UA","1112","18-64","3030"
"Leicester UA","1112","18-64","3005"
"Havering","1112","18-64","2943"
"Sefton","1112","18-64","2942"
"Wigan","1112","18-64","2922"
"Stockport","1112","18-64","2864"
"Kirklees","1112","18-64","2862"
"Newcastle upon Tyne","1112","18-64","2833"
"Hillingdon","1112","18-64","2792"
"Stockton-on-Tees UA","1112","18-64","2777"
"Greenwich","1112","18-64","2715"
"Medway Towns UA","1112","18-64","2702"
"Wakefield","1112","18-64","2665"
"North East Lincolnshire UA","1112","18-64","2638"
"Rochdale","1112","18-64","2636"
"Plymouth UA","1112","18-64","2629"
"Walsall","1112","18-64","2604"
"Camden","1112","18-64","2590"
"Blackpool UA","1112","18-64","2510"
"Enfield","1112","18-64","2509"
"Doncaster","1112","18-64","2485"
"Salford","1112","18-64","2453"
"Bromley","1112","18-64","2447"
"Barnet","1112","18-64","2444"
"Warrington UA","1112","18-64","2444"
"Gateshead","1112","18-64","2396"
"South Tyneside","1112","18-64","2383"
"St. Helens","1112","18-64","2380"
"Telford and the Wrekin UA","1112","18-64","2362"
"Islington","1112","18-64","2254"
"Bournemouth UA","1112","18-64","2190"
"Herefordshire UA","1112","18-64","2181"
"Central Bedfordshire UA","1112","18-64","2173"
"Buckinghamshire","1112","18-64","2138"
"Peterborough UA","1112","18-64","2126"
"Wolverhampton","1112","18-64","2117"
"Southend-on-Sea UA","1112","18-64","2098"
"North Lincolnshire UA","1112","18-64","2097"
"Knowsley","1112","18-64","2078"
"Westminster","1112","18-64","2069"
"Brighton and Hove UA","1112","18-64","2056"
"Barnsley","1112","18-64","2039"
"Torbay UA","1112","18-64","2013"
"North Tyneside","1112","18-64","1980"
"Redbridge","1112","18-64","1967"
"Luton UA","1112","18-64","1954"
"Lewisham","1112","18-64","1928"
"Reading UA","1112","18-64","1871"
"Kensington and Chelsea","1112","18-64","1835"
"Oldham","1112","18-64","1803"
"Poole UA","1112","18-64","1732"
"Blackburn with Darwen UA","1112","18-64","1722"
"Redcar and Cleveland UA","1112","18-64","1678"
"Merton","1112","18-64","1605"
"West Berkshire UA","1112","18-64","1600"
"Bexley","1112","18-64","1599"
"South Gloucestershire UA","1112","18-64","1581"
"York UA","1112","18-64","1576"
"Solihull","1112","18-64","1548"
"Wandsworth","1112","18-64","1544"
"Middlesbrough UA","1112","18-64","1512"
"Slough UA","1112","18-64","1511"
"Waltham Forest","1112","18-64","1474"
"Tower Hamlets","1112","18-64","1446"
"Darlington UA","1112","18-64","1437"
"Haringey","1112","18-64","1412"
"Bedford UA","1112","18-64","1411"
"Hackney","1112","18-64","1375"
"Calderdale","1112","18-64","1347"
"Hounslow","1112","18-64","1332"
"Bracknell Forest UA","1112","18-64","1323"
"Halton UA","1112","18-64","1304"
"Hartlepool UA","1112","18-64","1294"
"Harrow","1112","18-64","1233"
"Hammersmith and Fulham","1112","18-64","1232"
"Wokingham UA","1112","18-64","1185"
"Bolton","1112","18-64","1130"
"Milton Keynes UA","1112","18-64","1026"
"Barking and Dagenham","1112","18-64","1020"
"Sutton","1112","18-64","885"
"Windsor and Maidenhead UA","1112","18-64","881"
"Kingston upon Thames","1112","18-64","837"
"Isle of Wight UA","1112","18-64","804"
"Richmond upon Thames","1112","18-64","734"
"Thurrock UA","1112","18-64","698"
"Rutland UA","1112","18-64","651"
"City of London","1112","18-64","76"
"Isles of Scilly","1112","18-64","25"
"Hampshire","1213","18-64","28015"
"Kent","1213","18-64","27100"
"Essex","1213","18-64","17315"
"Norfolk","1213","18-64","15595"
"Birmingham","1213","18-64","15150"
"Devon","1213","18-64","15055"
"Hertfordshire","1213","18-64","13190"
"Cornwall","1213","18-64","11470"
"Lincolnshire","1213","18-64","10350"
"Staffordshire","1213","18-64","10055"
"Wiltshire","1213","18-64","9305"
"Manchester","1213","18-64","8880"
"Northamptonshire","1213","18-64","8410"
"Durham","1213","18-64","8255"
"Gloucestershire","1213","18-64","8000"
"Lancashire","1213","18-64","7750"
"East Sussex","1213","18-64","7565"
"Leeds","1213","18-64","7515"
"Surrey","1213","18-64","7515"
"Nottinghamshire","1213","18-64","7255"
"Oxfordshire","1213","18-64","7190"
"Liverpool","1213","18-64","6705"
"Leicestershire","1213","18-64","6200"
"Cumbria","1213","18-64","5990"
"Derbyshire","1213","18-64","5900"
"West Sussex","1213","18-64","5755"
"Worcestershire","1213","18-64","5735"
"North Yorkshire","1213","18-64","5725"
"Warwickshire","1213","18-64","5375"
"Tameside","1213","18-64","5355"
"Sheffield","1213","18-64","5060"
"Cheshire East","1213","18-64","4975"
"Cambridgeshire","1213","18-64","4790"
"Somerset","1213","18-64","4710"
"Coventry","1213","18-64","4680"
"Rotherham","1213","18-64","4635"
"Northumberland","1213","18-64","4455"
"Suffolk","1213","18-64","4350"
"Dorset","1213","18-64","4340"
"Stoke-on-Trent","1213","18-64","4305"
"Swindon","1213","18-64","4110"
"Southwark","1213","18-64","4090"
"Bromley","1213","18-64","3935"
"East Riding of Yorkshire","1213","18-64","3930"
"Southampton","1213","18-64","3895"
"Leicester","1213","18-64","3765"
"Newham","1213","18-64","3760"
"Sunderland","1213","18-64","3750"
"Nottingham","1213","18-64","3540"
"Kirklees","1213","18-64","3465"
"Lambeth","1213","18-64","3220"
"Portsmouth","1213","18-64","3150"
"Havering","1213","18-64","3120"
"Bath and North East Somerset","1213","18-64","3105"
"Cheshire West and Chester","1213","18-64","3070"
"Stockport","1213","18-64","3065"
"Bexley","1213","18-64","3050"
"Bradford","1213","18-64","3035"
"Kingston upon Hull","1213","18-64","3025"
"Wigan","1213","18-64","2995"
"Medway Towns","1213","18-64","2910"
"Wirral","1213","18-64","2880"
"North Somerset","1213","18-64","2860"
"St. Helens","1213","18-64","2855"
"Bury","1213","18-64","2845"
"Derby","1213","18-64","2810"
"Bristol","1213","18-64","2800"
"Camden","1213","18-64","2800"
"Wolverhampton","1213","18-64","2780"
"Ealing","1213","18-64","2775"
"Islington","1213","18-64","2730"
"Telford and the Wrekin","1213","18-64","2700"
"Greenwich","1213","18-64","2655"
"Sefton","1213","18-64","2635"
"Redbridge","1213","18-64","2610"
"Doncaster","1213","18-64","2595"
"Newcastle upon Tyne","1213","18-64","2475"
"Salford","1213","18-64","2450"
"Hillingdon","1213","18-64","2445"
"Barnet","1213","18-64","2420"
