"Thurrock UA","1011","18-64","2235"
"Rutland UA","1011","18-64","1475"
"City of London","1011","18-64","305"
"Isles of Scilly","1011","18-64","110"
"Lincolnshire","1011","18-64","0"
"Cornwall","1011","18-64","0"
"Walsall","1011","18-64","0"
"Kent","1112","18-64","76238"
"Essex","1112","18-64","68817"
"Hampshire","1112","18-64","57309"
"Hertfordshire","1112","18-64","47303"
"Birmingham","1112","18-64","43702"
"Lancashire","1112","18-64","39124"
"Norfolk","1112","18-64","37920"
"Devon","1112","18-64","35864"
"Cornwall","1112","18-64","33439"
"Staffordshire","1112","18-64","32850"
"Wiltshire","1112","18-64","31488"
"Durham","1112","18-64","30527"
"North Yorkshire","1112","18-64","29178"
"East Sussex","1112","18-64","28382"
"West Sussex","1112","18-64","27727"
"Somerset","1112","18-64","27502"
"Surrey","1112","18-64","26802"
"Nottinghamshire","1112","18-64","26452"
"Cumbria","1112","18-64","23809"
"Derbyshire","1112","18-64","23385"
"Suffolk","1112","18-64","22875"
"Leeds","1112","18-64","22523"
"Liverpool","1112","18-64","22059"
"Gloucestershire","1112","18-64","21882"
"Northamptonshire","1112","18-64","21661"
"Lincolnshire","1112","18-64","21443"
"Cambridgeshire","1112","18-64","20137"
"Dorset","1112","18-64","18736"
"Sheffield","1112","18-64","18583"
"Leicestershire","1112","18-64","18581"
"Shropshire","1112","18-64","18551"
"Kirklees","1112","18-64","18484"
"Tameside","1112","18-64","17943"
"Rotherham","1112","18-64","17713"
"Lambeth","1112","18-64","16399"
"Bristol UA","1112","18-64","15946"
"Northumberland","1112","18-64","15942"
"Croydon","1112","18-64","15732"
"Bradford","1112","18-64","15638"
"Buckinghamshire","1112","18-64","15497"
"East Riding of Yorkshire UA","1112","18-64","15400"
"Oxfordshire","1112","18-64","15353"
"Ealing","1112","18-64","15346"
"Southampton UA","1112","18-64","15241"
"Dudley","1112","18-64","14952"
"Worcestershire","1112","18-64","14707"
"Manchester","1112","18-64","14602"
"Stoke-on-Trent UA","1112","18-64","14530"
"Wirral","1112","18-64","14335"
"Cheshire East UA","1112","18-64","14273"
"Warwickshire","1112","18-64","14238"
"Sandwell","1112","18-64","14163"
"Bury","1112","18-64","14087"
"Sefton","1112","18-64","13897"
"Trafford","1112","18-64","13604"
"Wakefield","1112","18-64","13114"
"Newcastle upon Tyne","1112","18-64","13063"
"Coventry","1112","18-64","13009"
"Derby UA","1112","18-64","12584"
"Cheshire West and Chester UA","1112","18-64","12553"
"Kingston upon Hull UA","1112","18-64","12303"
"Stockport","1112","18-64","12209"
"Sunderland","1112","18-64","12122"
"Doncaster","1112","18-64","12000"
"Bromley","1112","18-64","11917"
"Enfield","1112","18-64","11462"
"Rochdale","1112","18-64","11263"
"St. Helens","1112","18-64","11248"
"Salford","1112","18-64","11125"
"Wigan","1112","18-64","10981"
"Barnet","1112","18-64","10921"
"Brent","1112","18-64","10850"
"Stockton-on-Tees UA","1112","18-64","10834"
"Bexley","1112","18-64","10614"
"Leicester UA","1112","18-64","10590"
"Swindon UA","1112","18-64","10476"
"Newham","1112","18-64","10417"
"North East Lincolnshire UA","1112","18-64","10294"
"North Somerset UA","1112","18-64","10208"
"Middlesbrough UA","1112","18-64","9903"
"Greenwich","1112","18-64","9868"
"Portsmouth UA","1112","18-64","9763"
"South Tyneside","1112","18-64","9718"
"Barnsley","1112","18-64","9609"
"Plymouth UA","1112","18-64","9597"
"Camden","1112","18-64","9547"
"York UA","1112","18-64","9514"
"Havering","1112","18-64","9445"
"Westminster","1112","18-64","9410"
"Kensington and Chelsea","1112","18-64","9395"
"Torbay UA","1112","18-64","9190"
"Redbridge","1112","18-64","9185"
"Medway Towns UA","1112","18-64","9148"
"Southwark","1112","18-64","9125"
"Lewisham","1112","18-64","9118"
"Nottingham UA","1112","18-64","9023"
"Bolton","1112","18-64","9003"
"Peterborough UA","1112","18-64","8749"
"Blackpool UA","1112","18-64","8725"
"Harrow","1112","18-64","8687"
"Islington","1112","18-64","8658"
"Southend-on-Sea UA","1112","18-64","8429"
"Calderdale","1112","18-64","8241"
"Telford and the Wrekin UA","1112","18-64","8197"
"Gateshead","1112","18-64","7959"
"Hackney","1112","18-64","7929"
"Hillingdon","1112","18-64","7824"
"Central Bedfordshire UA","1112","18-64","7766"
"Bath and North East Somerset UA","1112","18-64","7737"
"Redcar and Cleveland UA","1112","18-64","7651"
"North Lincolnshire UA","1112","18-64","7650"
"Knowsley","1112","18-64","7610"
"South Gloucestershire UA","1112","18-64","7602"
"Warrington UA","1112","18-64","7581"
"Merton","1112","18-64","7267"
"Haringey","1112","18-64","7222"
"Brighton and Hove UA","1112","18-64","7089"
"Luton UA","1112","18-64","6936"
"Reading UA","1112","18-64","6916"
"Hounslow","1112","18-64","6803"
"Oldham","1112","18-64","6802"
"Barking and Dagenham","1112","18-64","6785"
"Wandsworth","1112","18-64","6769"
"North Tyneside","1112","18-64","6763"
"Poole UA","1112","18-64","6743"
"Halton UA","1112","18-64","6646"
"Herefordshire UA","1112","18-64","6594"
"Wolverhampton","1112","18-64","6491"
"Milton Keynes UA","1112","18-64","6482"
"Hartlepool UA","1112","18-64","6281"
"Bournemouth UA","1112","18-64","6269"
"West Berkshire UA","1112","18-64","6196"
"Walsall","1112","18-64","6097"
"Solihull","1112","18-64","6015"
"Waltham Forest","1112","18-64","5887"
"Hammersmith and Fulham","1112","18-64","5884"
"Bedford UA","1112","18-64","5868"
"Tower Hamlets","1112","18-64","5789"
"Blackburn with Darwen UA","1112","18-64","5658"
"Darlington UA","1112","18-64","5646"
"Slough UA","1112","18-64","5385"
"Isle of Wight UA","1112","18-64","4734"
"Bracknell Forest UA","1112","18-64","4000"
"Wokingham UA","1112","18-64","3910"
"Sutton","1112","18-64","3899"
"Windsor and Maidenhead UA","1112","18-64","3801"
"Richmond upon Thames","1112","18-64","3246"
"Kingston upon Thames","1112","18-64","3105"
"Thurrock UA","1112","18-64","3040"
"Rutland UA","1112","18-64","1721"
"City of London","1112","18-64","308"
"Isles of Scilly","1112","18-64","53"
"Essex","1213","18-64","33190"
"Kent","1213","18-64","30445"
"Hertfordshire","1213","18-64","26705"
"Lancashire","1213","18-64","23550"
"Birmingham","1213","18-64","20410"
"North Yorkshire","1213","18-64","20325"
"Norfolk","1213","18-64","19265"
"Somerset","1213","18-64","19090"
"Devon","1213","18-64","19015"
"Staffordshire","1213","18-64","18960"
"Durham","1213","18-64","18360"
"East Sussex","1213","18-64","17020"
"Hampshire","1213","18-64","16680"
"Cornwall","1213","18-64","16075"
"Cumbria","1213","18-64","15935"
"Nottinghamshire","1213","18-64","15505"
"Lincolnshire","1213","18-64","15000"
"West Sussex","1213","18-64","14840"
"Liverpool","1213","18-64","14575"
"Surrey","1213","18-64","14260"
"Kirklees","1213","18-64","13800"
"Wiltshire","1213","18-64","13765"
"Leicestershire","1213","18-64","13590"
"Leeds","1213","18-64","13180"
"Cambridgeshire","1213","18-64","12915"
"Derbyshire","1213","18-64","12170"
"Buckinghamshire","1213","18-64","11170"
"Suffolk","1213","18-64","11150"
"Northamptonshire","1213","18-64","10615"
"Wirral","1213","18-64","10335"
"Gloucestershire","1213","18-64","10015"
"Sheffield","1213","18-64","9835"
"Bradford","1213","18-64","9765"
"Lambeth","1213","18-64","9715"
"Wakefield","1213","18-64","9655"
"Ealing","1213","18-64","9525"
"Rotherham","1213","18-64","9415"
"Worcestershire","1213","18-64","9365"
"East Riding of Yorkshire","1213","18-64","9230"
"Warwickshire","1213","18-64","9145"
"Kingston upon Hull","1213","18-64","9115"
"St. Helens","1213","18-64","8460"
"Cheshire East","1213","18-64","8255"
"Northumberland","1213","18-64","8200"
"Enfield","1213","18-64","8185"
"Croydon","1213","18-64","8050"
"Doncaster","1213","18-64","7965"
"Cheshire West and Chester","1213","18-64","7930"
"Salford","1213","18-64","7795"
"Manchester","1213","18-64","7795"
"Leicester","1213","18-64","7785"
"Rochdale","1213","18-64","7665"
"Stockport","1213","18-64","7635"
"Trafford","1213","18-64","7465"
"Dorset","1213","18-64","7360"
"Bexley","1213","18-64","7295"
"York","1213","18-64","7280"
"Bromley","1213","18-64","7270"
"Bolton","1213","18-64","7225"
"Medway Towns","1213","18-64","7220"
"Middlesbrough","1213","18-64","7195"
"Stoke-on-Trent","1213","18-64","7030"
"Sefton","1213","18-64","6925"
"Lewisham","1213","18-64","6865"
"Coventry","1213","18-64","6720"
"Wigan","1213","18-64","6590"
